nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
236,160,-9.7500,-61.7500,0.1366,0.4256,0.4378,0.1418,11.5799,26.2759,1602.0690,4.0014,1.4325,0.1079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,161,-9.2500,-61.7500,0.0100,0.5100,0.4800,0.0904,9.1639,26.2833,1638.0000,3.7000,1.2231,0.1154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,161,-9.2500,-61.2500,0.0877,0.4582,0.4541,0.0597,6.6503,26.1611,1998.7778,3.8850,1.3488,0.1109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,161,-9.2500,-60.7500,0.2157,0.3729,0.4114,0.1073,15.6425,26.0900,2204.3501,4.1898,1.3854,0.1096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,162,-8.7500,-61.7500,0.0100,0.5100,0.4800,0.0857,7.4375,26.4167,1558.8334,3.7000,1.2144,0.1157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,162,-8.7500,-61.2500,0.0100,0.5100,0.4800,0.1082,8.0467,26.3028,1927.3055,3.7000,1.2144,0.1157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,162,-8.7500,-60.7500,0.0975,0.4517,0.4508,0.1046,14.5856,26.1700,2228.8999,3.9083,1.2144,0.1157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,163,-8.2500,-62.2500,0.1909,0.3114,0.4977,1.3965,191.9606,24.8556,1178.6389,3.6340,0.6022,0.0772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,163,-8.2500,-61.7500,0.1874,0.3660,0.4466,1.6085,337.5331,25.2778,1402.6111,3.7250,0.6224,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,163,-8.2500,-61.2500,0.2266,0.3930,0.3804,1.0399,134.4256,26.3194,1711.6111,3.8850,0.8190,0.0825,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,163,-8.2500,-60.7500,0.2332,0.3768,0.3900,0.1654,24.9433,26.3139,2118.3057,3.8200,1.0097,0.0954,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
